sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,https://website-demo.rasa.com/conversations/2f02b48d5a7b4f3fae1551cc99ec7cee/1541754952.971115,09.11.2018,rasa_help,no,how do i use fasttext with spacy scikitlearn,wrong action pipeline?,
,,09.11.2018,subscribe,yes,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/193689e5db02494e8e6be5ae9b5ee667,09.11.2018,oos,no,languages,NLU,
,,09.11.2018,-,,,,
,,09.11.2018,subscribe,yes,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/0d7c0b7fc1ba4c7794975c7560e7192d,09.11.2018,oos,no,weird stuff ,not gracefully,
,https://website-demo.rasa.com/conversations/9ad42483af6f467daef650142554145f,09.11.2018,oos,yes,what are you doing,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/ae270ce418b74733b344e38e09aec3da,09.11.2018,chitchat,no,,"restarted conv after second ""hi""",
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,oos,yes,sample code,https://website-demo.rasa.com/conversations/7d92c34c91ac416b909a27081c8a8897,
,,09.11.2018,-,,,,
,,09.11.2018,oos,yes,what time is it,,
,,09.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/c9392342a96f48b4a6ea8d4d9bcb479d,08.11.2018,oos,no,restaurant search,NLU,
,,08.11.2018,subscribe,yes,,,
,,08.11.2018,oos,yes,i was lying,,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,no,,user left,
,https://website-demo.rasa.com/conversations/88236ab9e38a4ed5b29f121ef6482ee7,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/4d36aea6306248968e8408a285518520,08.11.2018,oos,no,mongo DB,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/2c7c7455810940358a34d081f51ae691,08.11.2018,oos,no,latest release,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/55dd4d8f908a4a668cb3beda8f81401a,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/55dd4d8f908a4a668cb3beda8f81401a,08.11.2018,oos,no,which colour has an apple,"asked for rephrasing, should say that it cannot help",
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/f1c2788b5a5e4bd1a094fc2ec369da5d,08.11.2018,sales,no,,NLU company name as greeting and restarted process,
,https://website-demo.rasa.com/conversations/1043ae1892494ac7be45a38c99b45e9e,08.11.2018,oos,no,weird stuff,should state earlier that he cannot help,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/8f217c1bd9294aa5bed6b2e2200a1f07,08.11.2018,oos,no,user told his name,wrong action,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/44a47056c8c44b569c444e615d710d19,08.11.2018,oos,yes,what is your address ,,
,https://website-demo.rasa.com/conversations/6b0932fb96b04169913b1a643599465b,08.11.2018,subscribe,no,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/46d94ada286d4df48fdf65c3dfbbea21,08.11.2018,rasa_help,no,,wrong action ,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,no,,user left,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d6312d9b4ffe41289c08bf011d3c18b2,08.11.2018,oos,no,alexa,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/0179c595f945416f8f669d08d337c30a,08.11.2018,,,,parf of conv is missing?,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/c4f419360df8440e91aab9328cfb1c9d,08.11.2018,whatspossible,no,tell me more,should state earlier that he cannot help,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d0d71ffadcfb4967ba39a7c0e1903f82,08.11.2018,whatspossible,no,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/6417224e670b4a9493266ec7919c9200,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/ac8ba654a3104776ae016f1a6f963a41,08.11.2018,oos,no,analytics for rasa,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,sales,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/e1514ac458024d9583b8afdce26e1b56,08.11.2018,oos,no,weird stuff,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,whatspossible,yes,,,
,,08.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/beb8c0a011ec4b6c88b7787411b57e22,08.11.2018,oos,no,"pipeline, install rasa ",NLU,
,https://website-demo.rasa.com/conversations/0a0f1a23effe4fbf9684d95000871c00,08.11.2018,oos,no,weird stuff,NLU,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b28b924345654acabcc0ba56a26f3103,08.11.2018,rasa_help,no,demo,user left,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/7cfb2211239e482d8d8a4516b9ea5e5d,08.11.2018,oos,no,how to use rasa with windows,NLU,
,,08.11.2018,chitchat,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/dd0e60e960ed4bb38c74ef247524013e,08.11.2018,rasa_help,no,,restarted after second hi,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,subscribe,yes,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,sales,no,,user left,
,,08.11.2018,sales,no,,user left,
,,08.11.2018,-,,,,
,,08.11.2018,rasa_help,yes,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/19c314488f9a4f32af71721c48ca0adf,08.11.2018,-,no,,additional hi restarted the bot,
,https://website-demo.rasa.com/conversations/d5d70301b9624486bca8ac112dda3b2c,08.11.2018,rasa_help,no,,rasa_help but fallback,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fa1ed11d4a1a409aa2ff6d538d8512df,08.11.2018,chitchat,no,,NLU,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/24c461f409eb4017a5aa4700cd7eca38,08.11.2018,rasa_help,no,,migrate? yes>> tutorial,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/42391f6e11c34da8931debe4485442aa,10.11.2018,oos,no,cannot install rasa on anaconda,didn't state that it cannot help,
,,10.11.2018,oos,no,how to use the evaluate module from python,didn't respond,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,oos,no,asked for formal documentation,NLU as ask weather,
,,10.11.2018,-,,,,
,,10.11.2018,rasa_help,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,oos,no,weird stuff,NLU as ask weather,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/44742ab2e3d54a5d949aec2dead9eaa6,10.11.2018,oos,no,how to install rasa,NLU as getstart,
,,10.11.2018,-,,,,
,,10.11.2018,chitchat,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f5660ab85a404a739a7b0ae3da8c036f,10.11.2018,rasa_help,no,,fallback whennot needed,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,rasa_help,yes,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d897388f317449af93aabaed3ff89241,10.11.2018,,no,,started without greeting,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/322007698e6c4221af2b7c09022fcac5,10.11.2018,oos,no,story,too often possibilities,
,https://website-demo.rasa.com/conversations/8f2409f5fd924e11bbd2316e93253225,10.11.2018,oos,no,how do you interpret  as question,NLU as howdoing,
,https://website-demo.rasa.com/conversations/c138494565a74c738197efb1fae948c3,10.11.2018,rasa_help,no,,didn't understand get started,
,,10.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/f9ad927842ce4dbb94deafd2d1f11018,10.11.2018,whatspossible,no,,,
,https://website-demo.rasa.com/conversations/fa206305633f4d85acc1b5ddd98cdff9,10.11.2018,rasa_help,no,tutorial,didn't send tutorial,
,,10.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/b27868924a2c4ea8b59d03b9b3286645,10.11.2018,oos,no,meaning of rasa,,
,,10.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/00ca45b5375e4c99a285fd7198aa2fef,10.11.2018,oos,no,how do you work,weather,
,,10.11.2018,oos,yes,error in code,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/9e545ee32b714028841bd87f8636b7c8,11.11.2018,subscribe,no,,should ask for correct address,
,https://website-demo.rasa.com/conversations/47a650184c30453fa712abd88e9c02d1,11.11.2018,oos,no,"technical questions, handoff",fallback instead of handoff,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,whatspossible,yes,,,
,,11.11.2018,-,,,,
,https://docs.google.com/spreadsheets/d/15cKBE58GUoJEptGYGk3hocwhFMiqUD1wU2HilvFhzXk/edit#gid=0,11.11.2018,oos,no,how to train,NLU as mood confirm,
,,11.11.2018,-,,,,
,,11.11.2018,oos,yes,weird questions,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b075438def4940a9a45956bc7478c0c2,11.11.2018,oos,no,how many skills do you have,weather,
,,11.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/4a93d442a6bf49b5958d95995e97031d,11.11.2018,oos,yes,oosresources for getting started ,,
,https://website-demo.rasa.com/conversations/f655fad0518643ae9dfa89338c746df5,11.11.2018,rasa_help,no,,user left,
,,11.11.2018,-,,,,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/804d35ce86e44cd9ba107f1d0ba42678,11.11.2018,chitchat,no,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/d25acaf90efb4918b82a36fd4c73b60b,11.11.2018,rasa_help,no,,user left ,
,,11.11.2018,chitchat,yes,,,
,,11.11.2018,whatspossible,yes,,,
,,11.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/a3a89abe1a454ae4bf7f513b8676d8a4,11.11.2018,oos,no,voice possible? ,NLU as handoff,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,11.11.2018,-,,,,
,,12.11.2018,,,,,
,,12.11.2018,sales,yes,,,
,,12.11.2018,oos,yes,can i respond with buttons,,
,,12.11.2018,rasa_help,yes,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/da9426187d1b47eaa025f80858753d55,12.11.2018,oos,no,hasn't received confirmation,sent thumbsup,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/813110b3760a41e3a37c9a39eb9c572c,12.11.2018,oos,no,weird stuff,should state earlier that it cannot help,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/b77fd2e80b024cbe909037cc69a0cc2f,12.11.2018,oos,yes,possible to integrate with fb,,
,,12.11.2018,whatspossible,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/5ea0a3a5a46b424cb0a05a72199bcfd7,12.11.2018,oos,yes,ooshelp,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/8550e149cef148b6b1c9346dab4201d8,12.11.2018,oos,no,how to delete single slots,switch to signup,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/d5bb68b058084f07b1a7a7d7b470047b,12.11.2018,rasa_help,no,,whatisrasa > action chitchat,
,https://website-demo.rasa.com/conversations/2b6fd089ab104f0d98f92d3e1c69fba0,12.11.2018,oos,yes,we want to build a sales bot,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,chitchat,yes,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,,12.11.2018,whatspossible,yes,,,
,https://website-demo.rasa.com/conversations/aa0622978b964e6484dedb1bd6c0f8e9,12.11.2018,oos,no,how can i start investing,noresponse,
,,12.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/7d13a167662b4154be775a3cae91fb61,12.11.2018,oos,no,help me with django,whatspossible,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/a7472da59f4349cda9b5c504841ce0e6,12.11.2018,oos,no,issue with documenttation page,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/b693288d91f64ccb8c1916de2dd1daa7,12.11.2018,oos,no,google,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/12782067c59f4a249c33907fd2217942,12.11.2018,oos,no,chitchat,send cant help sooner,
,https://website-demo.rasa.com/conversations/b2ff163df6b24428a54d2710b50386c0,12.11.2018,oos,no,what is rasa core,what is rasa,
,,12.11.2018,oos,yes,what is duckling,,
,,12.11.2018,,,,,
,,12.11.2018,,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/868aff2710dc45d9bd028e65d23395ff,12.11.2018,oos,no,how does rasa work,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/7bc429dc4ff540158e673e77a6164ba5,12.11.2018,oos,no,what color do you like,whatspossible,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f4a98a2b92f64953a035dead8b69bf45,12.11.2018,oos,no,chitchat,should say sooner that it cannot help,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fb464037aedc4dd18e4ebfa99d4aed07,12.11.2018,oos,no,can rasa store context of conv,whatspossible,
,,12.11.2018,oos,yes,django,,
,https://website-demo.rasa.com/conversations/7719845dcdbf4a21a8e7bae76e6ee880,12.11.2018,oos,no,weird stuff,should say earlier that it cannot help,
,,12.11.2018,-,,,,
,,12.11.2018,whatspossible,yes,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/177be360dd904d9582b85b1827a3cdc9,12.11.2018,subscribe,no,,,
,https://website-demo.rasa.com/conversations/bd21b3f8f9d6470dab70ef28a470503e/1542003966.4481652,12.11.2018,rasa_help,no,,oos,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/672b3a210fd34e8e99ac193121631026,12.11.2018,oos,no,weird stuff,whatspossible,
,,12.11.2018,oos,yes,romanian as language,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/1cd6fc893f394a40b9cf74ada0d4d73b,12.11.2018,whatspossible,no,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/9f56d2e9f53d40a89b06020cd742b9f2,12.11.2018,rasa_help,no,,sent same link two times,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/a58745f2c0c941eba32150a217c58315,12.11.2018,oos,no,?,started asking for the budget out ofnothin,
,https://website-demo.rasa.com/conversations/adaa469ce2e04b439c4d10e3c9431ce2,12.11.2018,rasa_help,no,,,
,,12.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/4ab84405774c4801b70045f8f7538de1,12.11.2018,oos,no,regex,weather,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,subscribe,yes,,,
,https://website-demo.rasa.com/conversations/cf8c4c4b2b2c44e8a7024e85eab32837,12.11.2018,oos,no,tutorial ,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,12.11.2018,-,,,,
,,13.11.2018,,,,,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/8f3fbb8beeed416dab6ab2cdae3fb22b,13.11.2018,oos,no,I want to talk to you,human handoff,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/36b3a5990fac422d85979a6c6179100d,13.11.2018,,no,technical questions, asked too often to rephrase,
,,13.11.2018,,yes,weird stuff,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/fb6a8a841a534925a129894ee11a6485,13.11.2018,rasa_help,no,,entity extraction,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/6a2ca107cc264662ab84cce73957d8b5,13.11.2018,oos,no,how old are you ,how doing,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,-,,,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,oos,yes,restaurant,,
,,13.11.2018,-,,,,
,,13.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/0293e6b7054040f98af22d035bfc755d,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/ef1a8b666b9f430e8b60b3d67b6dfa7c,13.11.2018,rasa_help,no,component list,,
,,13.11.2018,-,,,,
,,13.11.2018,oos,yes,first time rasa,,
,,13.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/931ec5ea5a654913b5b705eb45b83b3d,13.11.2018,sales,no,,NLU,
,,13.11.2018,rasa_help,yes,,,
,,13.11.2018,rasa_help,yes,,,
,,13.11.2018,chitchat,yes,,,
,,13.11.2018,whatspossible,yes,,,
,,13.11.2018,sales,yes,,,
,https://website-demo.rasa.com/conversations/115b79788806456ea2b900fdfe6bfef2,13.11.2018,oos,yes,is there any oos way to get in touch,,
,,13.11.2018,-,,,,
,,13.11.2018,-,,,,
,,13.11.2018,chitchat,yes,,,
